customer_tweet_id,customer_text,predicted_intent,retrieved_support_text,retrieval_score,draft_reply,helpful,correct,clear,evidence_supported,reason
2621127,@115858 @AppleSupport wtf is wrong with your updates. My keyboard and screen all over the place. It took 5 minutes to type this because the camera keeps opening while I type.....,app_or_feature_issue,"@245918 We're here for you. Take a look at this article: https://t.co/xXaXeeSRt9

Send us a DM if the issue persists. https://t.co/GDrqU22YpT",0.3070017732155942,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @245918 We're here for you. Take a look at this article: https://t.co/xXaXeeSRt9  Send us a DM if the issue persists. https://t.co/GDrqU22YpT If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",2.0,3.0,2.0,1.0,"The draft awkwardly copy-pastes a historical tweet including another user's handle (@245918) and meta-text, making the response sound robotic and poorly formatted."
2978350,My phone is becoming really slow at processing anything pls help @AppleSupport,device_performance,"@431723 We got your DM, and we will respond to you there.",0.2985154409417285,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @431723 We got your DM, and we will respond to you there. If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",1.0,1.0,2.0,0.0,The draft reply nonsensically presents a generic DM acknowledgment sent to a different user handle (@431723) as a troubleshooting step for a slow phone.
2645630,"Eu sabia que o iPhone 7 descascava, mas o que eu não sabia é que essa porra começa a perder a tinta antes mesmo dos três primeiros meses de uso! @115858 @AppleSupport",unclear,"@208340 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",0.2858690863208478,I’m sorry you’re running into this. Could you share a little more detail about what is happening and which device or software version you’re using?,2.0,2.0,4.0,0.0,"The customer wrote in Portuguese and specified they are using an iPhone 7. The draft reply ignores the policy in the historical evidence to inform non-English users and direct them to support links, while also asking for information already provided."
2110846,"@115858, I will never be convinced that swiping down from the top right is the ideal way to access Control Center. It is profoundly uncomfortable that such an essential part of iOS essentially requires both hands. Please rethink this, for the sake of iPhone's future accessibility.",unclear,@330650 Do you notice the crashes during anything more so than others? And do any steps you take temporarily remedy or help?,0.2391653891537792,I’m sorry you’re running into this. Could you share a little more detail about what is happening and which device or software version you’re using?,2.0,2.0,5.0,0.0,"The customer is offering product/UX feedback regarding Control Center accessibility, but the draft reply treats the message as a technical issue or bug needing troubleshooting. Additionally, the reply is not supported by the historical evidence."
2638508,"@AppleSupport According to my phone, the charger I’ve been using for years now is suddenly “invalid”...? It worked without a hitch before that new update. Just letting you all know it was a problem. Also, don’t misinterpret that. I’m not trying to be condescending.",software_update,@361207 We understand the confusion.  The 5C is not listed there.  The 5C and 5S are not the same phone.,0.1724618235066444,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @361207 We understand the confusion.  The 5C is not listed there.  The 5C and 5S are not the same phone. If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",1.0,1.0,2.0,0.0,"The draft reply blindly quotes completely irrelevant historical evidence regarding iPhone 5C and 5S models, providing no actual help or appropriate troubleshooting for the customer's charger issue."
2639631,@AppleSupport i need to delete cc from Wallet/Apple Pay?,app_or_feature_issue,@513893 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,0.3419834025987576,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @513893 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",1.0,1.0,2.0,1.0,The draft reply provides an irrelevant boilerplate message regarding language support instead of answering how to remove a credit card from Wallet/Apple Pay.
2110848,"@AppleSupport This didn't help much the trusted ""number"" isn't a SIM card I have anymore",unclear,@512725 We'd like to discuss this further. Please join us in a DM and tell us which iOS version the iPhone is running. https://t.co/GDrqU22YpT,0.2938085340069846,I’m sorry you’re running into this. Could you share a little more detail about what is happening and which device or software version you’re using?,,,,,"Judge error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, lim"
2652515,@AppleSupport I recently bought a physical copy of Taylor Swifts 'Reputation' and it WILL not sync to my phone through my iTunes. WHY?! I'm ready to scream. SOMEONE PLEASE HELP ME.,app_or_feature_issue,"@186102 Let’s get this figured out together. To start, can you tell us the iOS version your iPhone is on currently?",0.223074477677924,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @186102 Let’s get this figured out together. To start, can you tell us the iOS version your iPhone is on currently? If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",,,,,"Judge error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, lim"
2686707,@AppleSupport you need to fix the issue where the music stops playing by itself I’m getting tired of restarting my phone,device_performance,@664542 We'd like to learn more about the issue and your iPhone. Let's begin with the iOS version from Settings &gt; General &gt; About. Does a restart of the iPhone change anything? Even if temporarily? Please DM us. https://t.co/GDrqU22YpT,0.4274443173796577,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @664542 We'd like to learn more about the issue and your iPhone. Let's begin with the iOS version from Settings &gt; General &gt; About. Does a restart of the iPhone change anything? Even if temporarily? Please DM us. https://t.co/GDrqU22YpT If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",,,,,"Judge error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, lim"
2688219,@AppleSupport The update has taken away my 7’s ability to connect with sprint. Just “searching”. 50 days out of warranty. Help?!,software_update,"@612771 Let's look into this together. Reply by DM, and let us know how you would like to move your apps as well as the device you're using. https://t.co/GDrqU22YpT",0.3052138675186923,"I’m sorry you’re running into this. Based on a similar Apple Support case, a relevant next step was: @612771 Let's look into this together. Reply by DM, and let us know how you would like to move your apps as well as the device you're using. https://t.co/GDrqU22YpT If that does not resolve the issue, Apple Support can help with the next troubleshooting or service step.",,,,,"Judge error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, lim"
